fieldmap_name:      	VPU29_Gap24.0mm
timestamp:          	2025-03-25_09-20-26
filename:           	2025-03-25_VPU29_Gap24.0mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5228.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap24.0mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.91
probey_temp[degC]:  	-57.31
probez_temp[degC]:  	-0.09
transd_temp[degC]:  	-0.36
room_temp[degC]:    	25.13
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------					
0.000	-3.0	-1380.0	4.5172429071e-06	8.6265628132e-06	2.4527232569e-06
0.000	-2.0	-1380.0	3.4275585609e-06	7.9039271803e-06	3.8089293246e-06
0.000	-1.0	-1380.0	5.0808826561e-06	8.6526686271e-06	3.3300982641e-06
0.000	0.0	-1380.0	3.4329498351e-06	8.36325599e-06	3.4160972222e-06
0.000	1.0	-1380.0	4.499487644e-06	8.5826080713e-06	3.0034521594e-06
0.000	2.0	-1380.0	4.2959131294e-06	7.5820843059e-06	4.1631707779e-06
0.000	3.0	-1380.0	4.1484438084e-06	8.0062774306e-06	3.9343043104e-06
0.000	-3.0	-1379.0	4.9756090415e-06	8.1114736714e-06	3.1072292333e-06
0.000	-2.0	-1379.0	4.2459180464e-06	7.8601129811e-06	2.8775773872e-06
0.000	-1.0	-1379.0	5.1971544702e-06	8.2252781551e-06	3.4999899376e-06
0.000	0.0	-1379.0	3.8884765653e-06	7.9560685368e-06	3.1075862236e-06
0.000	1.0	-1379.0	2.9051800301e-06	7.8770483813e-06	2.9732507818e-06
0.000	2.0	-1379.0	4.2597556502e-06	7.300225841e-06	3.8952138749e-06
0.000	3.0	-1379.0	3.3217817605e-06	8.8823154641e-06	3.2644120529e-06
0.000	-3.0	-1378.0	4.9370434599e-06	7.815736611e-06	3.4283776878e-06
0.000	-2.0	-1378.0	3.5375764969e-06	8.2141752786e-06	2.6516739391e-06
0.000	-1.0	-1378.0	5.2244343177e-06	8.5393560431e-06	3.6841969213e-06
0.000	0.0	-1378.0	3.8858528119e-06	8.3815265462e-06	2.2943980685e-06
0.000	1.0	-1378.0	3.4694667325e-06	8.0680811005e-06	3.5830258764e-06
0.000	2.0	-1378.0	4.209185498e-06	8.1850126601e-06	3.8656550798e-06
0.000	3.0	-1378.0	3.9488588366e-06	8.1318875044e-06	3.2883304015e-06
0.000	-3.0	-1377.0	4.7035653443e-06	7.9300329942e-06	3.5089503936e-06
0.000	-2.0	-1377.0	3.8134659699e-06	8.7295455058e-06	2.6790550934e-06
0.000	-1.0	-1377.0	4.9577818947e-06	8.6829555876e-06	3.6399658258e-06
0.000	0.0	-1377.0	3.4060294058e-06	8.1730665272e-06	2.9405147733e-06
0.000	1.0	-1377.0	3.4812556522e-06	8.1438336373e-06	3.6099786424e-06
0.000	2.0	-1377.0	3.9394061358e-06	7.9475305653e-06	4.1336119829e-06
0.000	3.0	-1377.0	3.9543938782e-06	8.138071385e-06	3.9019252921e-06
0.000	-3.0	-1376.0	5.2752920045e-06	8.0149559448e-06	2.7675172844e-06
0.000	-2.0	-1376.0	3.9812424238e-06	8.4718603922e-06	2.3511952218e-06
0.000	-1.0	-1376.0	5.1257021158e-06	8.275697863e-06	3.0238363043e-06
0.000	0.0	-1376.0	2.9025562766e-06	7.8714266717e-06	2.6221865421e-06
0.000	1.0	-1376.0	4.062147479e-06	8.2434081685e-06	3.3122487502e-06
0.000	2.0	-1376.0	4.4337859822e-06	7.5084047745e-06	3.8686180992e-06
0.000	3.0	-1376.0	3.8704337676e-06	8.0116180547e-06	3.8360962848e-06
0.000	-3.0	-1375.0	5.6016078622e-06	7.7980282258e-06	2.7470617414e-06
0.000	-2.0	-1375.0	4.2572756641e-06	8.0618269486e-06	2.8600134655e-06
0.000	-1.0	-1375.0	4.9459210915e-06	8.0911301098e-06	3.3063941096e-06
0.000	0.0	-1375.0	3.0624614702e-06	7.8916296905e-06	2.7174315483e-06
0.000	1.0	-1375.0	4.6133513556e-06	7.6663748142e-06	3.1784130948e-06
0.000	2.0	-1375.0	4.2384421461e-06	7.6401987288e-06	3.5624275373e-06
0.000	3.0	-1375.0	3.9988539196e-06	8.4664494968e-06	3.6572441553e-06
0.000	-3.0	-1374.0	5.2298974756e-06	8.1064141328e-06	2.473321596e-06
0.000	-2.0	-1374.0	3.7472611224e-06	7.5698570875e-06	3.2176463264e-06
0.000	-1.0	-1374.0	4.9094760777e-06	7.959617241e-06	3.1690242505e-06
0.000	0.0	-1374.0	2.8576649332e-06	8.3288932901e-06	2.9312687251e-06
0.000	1.0	-1374.0	3.9389748339e-06	7.3268938259e-06	3.327420837e-06
0.000	2.0	-1374.0	4.5207292645e-06	7.8136636056e-06	3.1483545134e-06
0.000	3.0	-1374.0	3.8317963023e-06	8.5331721625e-06	3.7459919385e-06
0.000	-3.0	-1373.0	5.356340827e-06	7.8569859052e-06	2.5330817686e-06
0.000	-2.0	-1373.0	3.8762563437e-06	7.7897713398e-06	2.4343025586e-06
0.000	-1.0	-1373.0	4.9607650665e-06	7.3791054538e-06	3.3359529047e-06
0.000	0.0	-1373.0	3.4603015663e-06	7.6079090343e-06	3.3243864197e-06
0.000	1.0	-1373.0	3.8072839755e-06	7.8365018008e-06	3.636431622e-06
0.000	2.0	-1373.0	3.9391186012e-06	7.51715356e-06	3.4283062897e-06
0.000	3.0	-1373.0	3.7959263578e-06	8.3779075706e-06	4.3929654202e-06
