fieldmap_name:      	VPU29_Gap11.0mm
timestamp:          	2025-03-24_15-20-44
filename:           	2025-03-24_VPU29_Gap11.0mm_Fieldmap_Y=-3_3mm_Z=-1380_1380mm_ID=5221.dat
nr_magnets:         	1
magnet_name:        	VPU29_Gap11.0mm
gap[mm]:            	--
control_gap[mm]:    	--
magnet_length[mm]:  	--
probex_temp[degC]:  	26.74
probey_temp[degC]:  	-57.71
probez_temp[degC]:  	-0.54
transd_temp[degC]:  	-0.76
room_temp[degC]:    	25.13
center_pos_z[mm]:   	0
center_pos_x[mm]:   	0
rotation[deg]:      	0

X[mm]	Y[mm]	Z[mm]	By[T]	Bx[T]	Bz[T]
---------------------------------------------------------------------------------------------
0.000	-3.000	-1380.000	-7.6974728984e-06	-6.7614691469e-06	5.9413737530e-06
0.000	-2.000	-1380.000	-8.1944764971e-06	-6.6213480352e-06	6.9793229884e-06
0.000	-1.000	-1380.000	-7.9576557919e-06	-7.9178899467e-06	6.6372192042e-06
0.000	0.000	-1380.000	-8.3658111916e-06	-7.3205130306e-06	6.3965006593e-06
0.000	1.000	-1380.000	-8.8719080726e-06	-8.1610640224e-06	7.3064688799e-06
0.000	2.000	-1380.000	-8.2751659012e-06	-8.1287040565e-06	7.7314658068e-06
0.000	3.000	-1380.000	-7.7210507376e-06	-7.3259941975e-06	7.1604955549e-06
0.000	-3.000	-1379.000	-7.4632759466e-06	-6.7700071183e-06	5.7145421299e-06
0.000	-2.000	-1379.000	-7.6461839097e-06	-6.6854355246e-06	6.5802792548e-06
0.000	-1.000	-1379.000	-7.3854259469e-06	-7.8973355709e-06	6.9551904455e-06
0.000	0.000	-1379.000	-8.1375086996e-06	-7.3909249433e-06	6.9974580945e-06
0.000	1.000	-1379.000	-8.9732640278e-06	-8.1402988326e-06	6.6607805626e-06
0.000	2.000	-1379.000	-7.9754110550e-06	-7.9706637455e-06	8.0895270565e-06
0.000	3.000	-1379.000	-8.2157900012e-06	-7.8330372674e-06	7.3866131975e-06
0.000	-3.000	-1378.000	-7.9220733821e-06	-6.9658182908e-06	6.4498350069e-06
0.000	-2.000	-1378.000	-7.9610702656e-06	-6.9835969474e-06	6.9437667566e-06
0.000	-1.000	-1378.000	-7.7931500448e-06	-8.2280677736e-06	7.3447739368e-06
0.000	0.000	-1378.000	-8.0443834231e-06	-7.0890040023e-06	7.0264457052e-06
0.000	1.000	-1378.000	-9.1112087639e-06	-8.1639100129e-06	6.9465869798e-06
0.000	2.000	-1378.000	-8.6655660377e-06	-8.2751495915e-06	7.1005925861e-06
0.000	3.000	-1378.000	-7.5804103643e-06	-7.7127678178e-06	7.2472798916e-06
0.000	-3.000	-1377.000	-7.4816062789e-06	-7.6082742906e-06	6.4556896475e-06
0.000	-2.000	-1377.000	-7.8587798229e-06	-7.7015243986e-06	6.6759526495e-06
0.000	-1.000	-1377.000	-8.2726140314e-06	-8.6181090125e-06	7.3780097318e-06
0.000	0.000	-1377.000	-7.9374924264e-06	-7.2442685942e-06	7.2052264368e-06
0.000	1.000	-1377.000	-8.7903560648e-06	-8.2637656296e-06	6.9282376795e-06
0.000	2.000	-1377.000	-7.9813773985e-06	-8.5151263199e-06	7.8540205696e-06
0.000	3.000	-1377.000	-7.3828021935e-06	-7.6686725331e-06	6.8423101194e-06
0.000	-3.000	-1376.000	-7.8683044073e-06	-6.9216527347e-06	6.5567892944e-06
0.000	-2.000	-1376.000	-8.3986979643e-06	-7.5575032258e-06	6.0204470997e-06
0.000	-1.000	-1376.000	-8.3711305821e-06	-7.7856743641e-06	6.9051047094e-06
0.000	0.000	-1376.000	-7.0168424998e-06	-7.6163906339e-06	6.3692623010e-06
0.000	1.000	-1376.000	-9.1351460214e-06	-7.5538842503e-06	7.1932315634e-06
0.000	2.000	-1376.000	-8.1645728962e-06	-8.1930023600e-06	7.7440318646e-06
0.000	3.000	-1376.000	-7.5205312787e-06	-7.9887234876e-06	6.7651288211e-06
0.000	-3.000	-1375.000	-8.3626842525e-06	-7.6135446434e-06	6.7201123470e-06
0.000	-2.000	-1375.000	-8.4287453325e-06	-7.6249286053e-06	6.9918176481e-06
0.000	-1.000	-1375.000	-8.5634193623e-06	-7.6656859999e-06	6.7500281323e-06
0.000	0.000	-1375.000	-8.0361527445e-06	-7.6513857761e-06	6.1995848215e-06
0.000	1.000	-1375.000	-8.9162243466e-06	-8.0323971440e-06	7.4521566127e-06
0.000	2.000	-1375.000	-8.4013936014e-06	-8.0992603525e-06	7.4994935236e-06
0.000	3.000	-1375.000	-7.8115522608e-06	-7.5839603966e-06	6.5239104898e-06
0.000	-3.000	-1374.000	-7.7567050311e-06	-7.6075013056e-06	6.7350702396e-06
0.000	-2.000	-1374.000	-7.7442691586e-06	-7.6370855523e-06	6.6754528631e-06
0.000	-1.000	-1374.000	-7.6852526769e-06	-8.0407945727e-06	6.8365268769e-06
0.000	0.000	-1374.000	-8.2932086989e-06	-7.3114831596e-06	7.0479722190e-06
0.000	1.000	-1374.000	-9.6867093147e-06	-7.7330411080e-06	7.2738756674e-06
0.000	2.000	-1374.000	-8.5840859135e-06	-8.2576520204e-06	7.9604750707e-06
0.000	3.000	-1374.000	-7.6253735913e-06	-7.8302615483e-06	7.0354775592e-06
0.000	-3.000	-1373.000	-8.5693857058e-06	-7.4786938844e-06	6.5123440047e-06
0.000	-2.000	-1373.000	-8.7696895136e-06	-7.0799038599e-06	7.2264673584e-06
